 t        y1(t)        y2(t)
60.2     2.192058     5.331910
60.3     2.161299     5.383534
60.4     2.119283     5.408968
60.5     2.068493     5.405937
60.6     2.012124     5.374062
60.7     1.953989     5.315066
60.8     1.898319     5.232841
60.9     1.849454     5.133290
61.0     1.811411     5.023898
61.1     1.787405     4.913069
61.2     1.779442     4.809299
61.3     1.788071     4.720374
61.4     1.812367     4.652684
61.5     1.850109     4.610765
61.6     1.898092     4.597064
61.7     1.952490     4.611907
61.8     2.009233     4.653637
61.9     2.064328     4.718864
62.0     2.114128     4.802803
62.1     2.155519     4.899635
62.2     2.186042     5.002879
62.3     2.203959     5.105762
62.4     2.208279     5.201564
62.5     2.198768     5.283964
62.6     2.175943     5.347371
62.7     2.141074     5.387253
62.8     2.096173     5.400467
62.9     2.043973     5.385562
63.0     1.987866     5.343030
63.1     1.931769     5.275461
63.2     1.879885     5.187505
63.3     1.836345     5.085619
63.4     1.804768     4.977536
63.5     1.787814     4.871556
63.6     1.786851     4.775733
63.7     1.801810     4.697139
63.8     1.831244     4.641286
63.9     1.872564     4.611768
64.0     1.922366     4.610112
64.1     1.976790     4.635821
64.2     2.031869     4.686551
64.3     2.083824     4.758396
64.4     2.129290     4.846226
64.5     2.165476     4.944050
64.6     2.190263     5.045375
64.7     2.202251     5.143567
64.8     2.200778     5.232186
64.9     2.185923     5.305320
65.0     2.158508     5.357911
65.1     2.120086     5.386080
65.2     2.072934     5.387436
65.3     2.020008     5.361354
65.4     1.964859     5.309185
65.5     1.911455     5.234324
65.6     1.863897     5.142088
65.7     1.826038     5.039353
65.8     1.801041     4.933959
65.9     1.790989     4.833966
66.0     1.796632     4.746888
66.1     1.817330     4.679030
66.2     1.851188     4.635017
66.3     1.895323     4.617528
66.4     1.946200     4.627227
66.5     1.999982     4.662862
66.6     2.052846     4.721485
66.7     2.101247     4.798749
66.8     2.142116     4.889254
66.9     2.172984     4.986901
67.0     2.192064     5.085247
67.1     2.198283     5.177848
67.2     2.191298     5.258589
67.3     2.171493     5.322009
67.4     2.139979     5.363622
67.5     2.098582     5.380229
67.6     2.049822     5.370207
67.7     1.996850     5.333758
67.8     1.943329     5.273052
67.9     1.893218     5.192223
68.0     1.850448     5.097146
68.1     1.818529     4.994984
68.2     1.800125     4.893545
68.3     1.796736     4.800530
68.4     1.808521     4.722832
68.5     1.834332     4.665957
68.6     1.871893     4.633646
